Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
3-June-2016,2599.0,2658.0,2594.85,2635.0,2639.8284621808116,22753,2509,60064017.0,5397.0,23.72,63.15,36.0
2-June-2016,2602.0,2602.0,2558.0,2594.85,2584.796928606437,24484,2280,63286168.0,3297.0,13.47,44.0,-7.15
1-June-2016,2625.0,2633.0,2594.75,2602.7,2613.2715570085816,14682,1530,38368053.0,2658.0,18.1,38.25,-22.3
31-May-2016,2610.0,2642.0,2606.2,2618.9,2625.7851470046817,19013,2281,49924053.0,6723.0,35.36,35.8,8.9
30-May-2016,2567.45,2614.95,2567.45,2608.75,2595.8609749610546,26319,2475,68320465.0,10030.0,38.11,47.5,41.3
27-May-2016,2501.4,2581.1,2490.0,2567.45,2551.992326384448,39095,3766,99770140.0,14981.0,38.32,91.1,66.05
26-May-2016,2488.0,2517.35,2478.5,2505.15,2499.114912451633,35923,3449,89775705.0,9287.0,25.85,38.85,17.15
25-May-2016,2395.35,2505.0,2381.0,2478.85,2460.819603063701,95179,10427,234218349.0,10426.0,10.95,124.0,83.5
24-May-2016,2421.0,2421.0,2366.0,2384.5,2388.920216281165,16645,2133,39763577.0,4051.0,24.34,55.0,-36.5
23-May-2016,2466.0,2466.0,2405.0,2416.75,2429.344346877015,20157,1974,48968294.0,5168.0,25.64,61.0,-49.25
20-May-2016,2440.3,2466.0,2429.5,2461.0,2454.1449777469816,37523,2860,92086882.0,15913.0,42.41,36.5,20.7
19-May-2016,2470.0,2470.0,2430.0,2440.7,2447.652503052503,20475,1957,50115685.0,5174.0,25.27,40.0,-29.3
18-May-2016,2503.8,2503.8,2456.8,2466.45,2470.9827239181477,11924,1687,29463998.0,3291.0,27.6,47.0,-37.35
17-May-2016,2520.0,2535.75,2503.85,2513.0,2519.0236514145367,10993,1518,27691627.0,3027.0,27.54,31.9,-7.0
16-May-2016,2526.75,2526.75,2457.7,2518.6,2498.0350623991853,11779,1868,29424355.0,1544.0,13.11,69.05,-8.15
13-May-2016,2554.8,2554.8,2506.0,2514.3,2518.7160714285715,8400,970,21157215.0,1394.0,16.6,48.8,-40.5
12-May-2016,2518.0,2554.8,2517.35,2550.45,2544.2788999444847,23417,1878,59579379.0,10782.0,46.04,37.45,32.45
11-May-2016,2521.8,2554.35,2499.35,2517.75,2526.0884036045522,15203,1679,38404122.0,3344.0,22.0,55.0,-4.05
10-May-2016,2526.15,2544.7,2500.6,2532.8,2522.813723357982,9196,995,23199795.0,1593.0,17.32,44.1,6.65
9-May-2016,2453.0,2539.65,2450.5,2527.95,2507.2696914998364,24376,2015,61117206.0,9497.0,38.96,89.15,74.95
6-May-2016,2453.0,2453.0,2430.0,2435.85,2438.801139374669,7548,1033,18408071.0,1765.0,23.38,23.0,-17.15
5-May-2016,2473.4,2486.0,2448.0,2453.0,2463.311215124816,10896,964,26840239.0,1518.0,13.93,38.0,-20.4
4-May-2016,2469.0,2474.9,2450.45,2459.2,2460.7573243453458,7714,900,18982282.0,1239.0,16.06,24.45,-9.8
3-May-2016,2480.0,2500.0,2453.0,2463.2,2467.8487780040737,15712,2003,38774840.0,2276.0,14.49,47.0,-16.8
2-May-2016,2486.0,2520.0,2450.0,2477.55,2476.1002613447376,12627,1257,31265718.0,2784.0,22.05,70.0,-8.45
29-April-2016,2490.0,2502.0,2465.55,2484.6,2484.427366972408,132247,2693,328558066.0,111587.0,84.38,36.45,-5.4
28-April-2016,2548.9,2557.0,2481.75,2488.45,2519.517071260768,12770,1424,32174233.0,1741.0,13.63,75.25,-60.45
27-April-2016,2556.0,2581.3,2540.0,2549.1,2554.673094170403,11150,1234,28484605.0,2013.0,18.05,41.3,-6.9
26-April-2016,2535.0,2560.0,2509.0,2549.65,2539.9555992141454,17815,2025,45249309.0,4715.0,26.47,51.0,14.65
