Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
11-May-2015,222.0,228.0,221.5,227.2,225.74233812708712,209022,2996,47185115.0,35313.0,16.89,6.5,5.2
8-May-2015,217.9,226.4,217.4,220.85,221.8353754414658,364411,9164,80839251.0,60209.0,16.52,9.0,2.95
7-May-2015,225.0,225.0,208.7,216.15,216.28642947574767,587656,18278,127102018.0,151236.0,25.74,16.3,-8.85
6-May-2015,240.3,240.3,225.0,226.0,229.5621099208197,386460,11850,88716573.0,65322.0,16.9,15.3,-14.3
5-May-2015,250.5,250.5,238.1,240.4,243.9866828123011,337759,10201,82408698.0,97495.0,28.87,12.4,-10.1
4-May-2015,238.25,250.6,236.25,249.35,244.8016994700628,424956,11837,104029951.0,81194.0,19.11,14.35,11.1
30-April-2015,238.0,241.2,233.5,235.6,237.15033731874485,559708,13235,132734941.0,96110.0,17.17,7.7,-2.4
29-April-2015,231.5,240.0,227.3,237.35,234.53488751386598,895177,22136,209950237.0,80829.0,9.03,12.7,5.85
28-April-2015,229.95,230.3,224.25,227.55,227.37954512625893,304612,8441,69262538.0,45037.0,14.79,6.05,-2.4
27-April-2015,234.0,235.0,220.7,228.25,226.38502353319492,342070,8485,77439525.0,49103.0,14.35,14.3,-5.75
24-April-2015,233.0,236.4,227.0,232.1,231.1461719795029,349123,10929,80698445.0,66237.0,18.97,9.4,-0.9
23-April-2015,237.5,243.15,230.75,232.9,238.1152910020757,312661,10702,74449365.0,43849.0,14.02,12.4,-4.6
22-April-2015,234.8,241.0,232.15,237.95,236.8938556643948,274513,10018,65030443.0,48631.0,17.72,8.85,3.15
21-April-2015,233.0,241.4,225.45,237.6,234.9658869240126,313223,9537,73596720.0,53751.0,17.16,15.95,4.6
20-April-2015,244.5,247.8,230.8,233.75,240.38718153435494,335672,8371,80691246.0,67643.0,20.15,17.0,-10.75
17-April-2015,245.0,249.35,237.45,244.6,243.52572454037156,409570,8947,99740831.0,134868.0,32.93,11.9,-0.4
16-April-2015,252.55,252.7,242.6,244.65,246.97226391092434,279852,7728,69115682.0,77367.0,27.65,10.1,-7.9
15-April-2015,259.85,259.85,250.4,251.4,255.44327763427327,1195472,4789,305375286.0,1057412.0,88.45,9.45,-8.45
13-April-2015,257.9,260.75,253.2,255.15,256.74487334517374,317556,10670,81530875.0,104146.0,32.8,7.55,-2.75
10-April-2015,251.0,257.85,250.0,256.75,255.04495349900898,262360,7493,66913594.0,77071.0,29.38,7.85,5.75
9-April-2015,253.0,253.5,248.75,250.7,250.59064840251386,265730,6884,66589453.0,88444.0,33.28,4.75,-2.3
8-April-2015,257.5,258.5,249.85,251.15,252.95292362851086,288956,8428,73092265.0,85986.0,29.76,8.65,-6.35
7-April-2015,252.25,258.0,251.9,255.4,255.07972577348158,230904,6342,58898929.0,51934.0,22.49,6.1,3.15
6-April-2015,255.65,257.15,247.5,252.2,251.82754125543045,366679,10114,92339871.0,89769.0,24.48,9.65,-3.45
1-April-2015,261.25,263.9,252.85,255.15,255.90241718889888,465789,11661,119196531.0,115638.0,24.83,11.05,-6.1
31-March-2015,265.15,268.9,261.0,263.75,264.5950618068576,220283,6516,58285794.0,58099.0,26.37,7.9,-1.4
30-March-2015,275.95,275.95,262.6,266.25,265.4289940039085,299862,7665,79592069.0,89090.0,29.71,13.35,-9.7
27-March-2015,271.6,274.4,266.0,271.55,271.07920564427224,317490,10424,86064937.0,68848.0,21.69,8.4,-0.05
26-March-2015,258.0,270.6,252.0,266.05,264.8860009232189,324950,7889,86074706.0,113000.0,34.77,18.6,8.05
25-March-2015,260.5,261.8,256.35,259.1,258.3031066005578,206528,4960,53346824.0,68920.0,33.37,5.45,-1.4
24-March-2015,267.5,267.5,251.85,259.7,259.50731205061504,348671,7358,90482674.0,88829.0,25.48,15.65,-7.8
23-March-2015,268.4,270.9,262.2,266.2,265.3624797368913,256624,6628,68098381.0,78916.0,30.75,8.7,-2.2
20-March-2015,273.3,273.5,264.6,268.4,267.2318058211689,247854,5408,66234472.0,81077.0,32.71,8.9,-4.9
19-March-2015,281.6,282.85,270.1,273.0,276.6909708883498,273327,5566,75627113.0,76979.0,28.16,12.75,-8.6
18-March-2015,283.25,284.05,277.1,278.75,279.1252363339441,205747,3723,57429180.0,74486.0,36.2,6.95,-4.5
17-March-2015,276.6,285.0,275.95,283.25,280.77320012119606,257434,6746,72280568.0,70300.0,27.31,9.05,6.65
16-March-2015,275.0,276.5,269.4,274.15,272.4686601803826,242152,6866,65978831.0,45381.0,18.74,7.1,-0.85
13-March-2015,291.85,291.85,276.4,277.65,282.06739705639166,241880,5967,68226462.0,81278.0,33.6,15.45,-14.2
12-March-2015,287.15,291.3,283.35,289.75,287.45444022487186,301505,4784,86668951.0,54055.0,17.93,7.95,2.6
11-March-2015,295.6,296.95,284.05,285.4,287.33173475135004,362196,8789,104070405.0,126937.0,35.05,12.9,-10.2
10-March-2015,288.5,297.0,287.4,294.9,291.9952538673367,236403,7531,69028554.0,63854.0,27.01,9.6,6.4
9-March-2015,292.0,296.0,285.15,286.55,289.19977875072055,320905,7556,92805655.0,54294.0,16.92,10.85,-5.45
5-March-2015,291.0,293.1,285.0,291.85,289.68156542507,331616,7664,96063042.0,65746.0,19.83,8.1,0.85
4-March-2015,295.7,296.5,284.6,288.8,289.9075000270935,369092,10175,107002539.0,77263.0,20.93,11.9,-6.9
3-March-2015,285.2,297.0,283.4,293.2,291.9890106289507,1159757,26626,338636299.0,138901.0,11.98,13.6,8.0
2-March-2015,280.0,281.85,268.65,271.95,274.7791680887372,468800,13450,128816474.0,131446.0,28.04,13.2,-8.05
28-February-2015,284.25,284.8,270.6,277.95,276.68025194760685,455174,11213,125937657.0,58299.0,12.81,14.2,-6.3
27-February-2015,276.5,282.6,272.1,281.7,277.9996104996316,308087,9637,85648066.0,72026.0,23.38,10.5,5.2
26-February-2015,272.05,273.85,261.2,270.5,265.8074331482816,566328,12013,150534192.0,158146.0,27.92,12.65,-1.55
25-February-2015,269.7,275.1,266.95,271.05,271.4391717306192,558852,11336,151694324.0,129868.0,23.24,8.15,1.35
24-February-2015,290.1,290.8,267.8,269.8,276.8944229556483,534387,12009,147968780.0,138254.0,25.87,23.0,-20.3
