Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
17-October-2016,3510.0,3510.0,3393.0,3404.15,3427.5942404555076,27398,2463,93909227.0,11670.0,42.59,117.0,-105.85
14-October-2016,3515.0,3518.85,3466.95,3482.2,3491.7895777277463,18211,1582,63588980.0,7189.0,39.48,51.9,-32.8
13-October-2016,3491.0,3519.0,3468.55,3493.5,3495.1608837046792,37207,3538,130044451.0,14524.0,39.04,50.45,2.5
10-October-2016,3499.0,3512.9,3479.1,3489.7,3494.4511052440853,57951,4778,202506936.0,41467.0,71.56,33.8,-9.3
7-October-2016,3495.0,3495.0,3450.0,3471.7,3467.8095801059935,24530,1528,85065369.0,14513.0,59.16,45.0,-23.3
6-October-2016,3525.3,3525.3,3462.4,3473.6,3485.9623189384474,29617,2340,103243746.0,10268.0,34.67,62.9,-51.7
5-October-2016,3583.0,3583.0,3485.0,3490.4,3497.8843654888083,46327,2079,162046489.0,27755.0,59.91,98.0,-92.6
4-October-2016,3581.0,3600.0,3516.3,3531.55,3553.407341872441,37865,2791,134549769.0,7936.0,20.96,83.7,-49.45
3-October-2016,3469.0,3542.85,3448.0,3523.0,3508.590799748344,27021,2806,94805632.0,11826.0,43.77,94.85,54.0
30-September-2016,3462.0,3462.0,3392.0,3414.35,3419.3556412985636,30064,3071,102799508.0,12226.0,40.67,70.0,-47.65
29-September-2016,3485.0,3495.95,3409.95,3428.5,3454.90517390552,23116,2665,79863588.0,6911.0,29.9,86.0,-56.5
28-September-2016,3475.0,3490.0,3439.5,3450.45,3464.650925618003,9021,1200,31254616.0,3086.0,34.21,50.5,-24.55
27-September-2016,3486.0,3499.9,3440.0,3450.55,3459.99252068746,25136,1948,86970372.0,10301.0,40.98,59.9,-35.45
26-September-2016,3565.0,3565.0,3450.95,3463.7,3478.4179757407037,20116,2794,69971856.0,7384.0,36.71,114.05,-101.3
23-September-2016,3538.6,3553.45,3515.65,3531.75,3535.296672676611,12202,1117,43137690.0,4044.0,33.14,37.8,-6.85
22-September-2016,3500.0,3577.8,3500.0,3538.6,3547.7707984119993,34005,3266,120641946.0,9730.0,28.61,77.8,38.6
21-September-2016,3497.0,3510.0,3416.9,3460.0,3473.865526352384,28764,3282,99922268.0,6528.0,22.7,93.1,-37.0
20-September-2016,3558.0,3558.0,3460.0,3468.1,3482.6178500090796,22028,2508,76715106.0,9377.0,42.57,98.0,-89.9
19-September-2016,3601.0,3617.15,3544.05,3554.3,3571.4144368963434,21639,2105,77281837.0,7485.0,34.59,73.1,-46.7
16-September-2016,3556.7,3639.0,3529.95,3585.15,3592.271767997724,42172,4052,151493285.0,5131.0,12.17,109.05,28.45
15-September-2016,3570.0,3573.0,3508.0,3522.6,3524.348616099726,28398,3029,100084452.0,4031.0,14.19,65.0,-47.4
14-September-2016,3530.0,3612.0,3530.0,3589.5,3573.9402144035184,14552,1971,52007978.0,2898.0,19.91,82.0,59.5
12-September-2016,3565.0,3565.0,3493.1,3529.05,3516.4260847808996,27978,3302,98382569.0,5275.0,18.85,71.9,-35.95
9-September-2016,3690.0,3705.5,3568.65,3623.8,3626.2644481812554,22598,2829,81946324.0,6230.0,27.57,136.85,-66.2
8-September-2016,3605.0,3739.9,3605.0,3697.65,3699.739671244156,34007,3387,125817047.0,13803.0,40.59,134.9,92.65
7-September-2016,3699.8,3699.8,3578.35,3609.85,3599.639682013912,15095,1918,54336561.0,4664.0,30.9,121.45,-89.95
6-September-2016,3581.0,3650.0,3581.0,3614.05,3620.4386983632116,25660,2918,92900457.0,8439.0,32.89,69.0,33.05
2-September-2016,3580.0,3614.35,3553.85,3578.55,3577.7068346542032,29526,2865,105635372.0,6110.0,20.69,60.5,-1.45
1-September-2016,3551.0,3597.15,3520.0,3546.9,3564.3689478154884,27077,2762,96512418.0,5648.0,20.86,77.15,-4.1
31-August-2016,3480.0,3576.0,3480.0,3547.5,3548.88153357225,44367,3165,157453227.0,10574.0,23.83,96.0,67.5
30-August-2016,3414.0,3483.4,3414.0,3473.35,3458.735147259085,37451,2464,129533090.0,14779.0,39.46,69.4,59.35
29-August-2016,3316.5,3415.0,3282.0,3405.75,3364.5605142986697,30877,2395,103887535.0,9174.0,29.71,133.0,89.25
26-August-2016,3322.25,3334.0,3300.0,3316.8,3313.2430894901904,13711,1534,45427876.0,3100.0,22.61,34.0,-5.45
25-August-2016,3305.0,3332.95,3290.0,3303.75,3311.1980333242286,14644,1543,48489184.0,3230.0,22.06,42.95,-1.25
24-August-2016,3306.45,3323.0,3287.9,3309.5,3305.0108200109416,16451,1676,54370733.0,4095.0,24.89,35.1,3.05
23-August-2016,3382.0,3382.0,3296.15,3306.45,3308.85343409418,19452,2028,64363817.0,4933.0,25.36,85.85,-75.55
22-August-2016,3365.0,3365.0,3306.8,3337.95,3329.220210642252,14527,1330,48363582.0,3127.0,21.53,58.2,-27.05
19-August-2016,3380.0,3380.0,3343.8,3359.25,3358.8029382797113,12184,1244,40923655.0,1787.0,14.67,36.2,-20.75
18-August-2016,3360.0,3410.0,3356.6,3369.4,3377.8038846462323,28677,2777,96865282.0,6321.0,22.04,53.4,9.4
17-August-2016,3313.5,3429.0,3308.05,3360.15,3389.31181239143,44902,3777,152186879.0,12065.0,26.87,120.95,46.65
16-August-2016,3315.0,3320.0,3281.0,3294.7,3296.7897721414574,9699,1228,31975564.0,1800.0,18.56,39.0,-20.3
12-August-2016,3310.0,3364.85,3301.5,3313.3,3336.2924714828896,26300,2571,87744492.0,7828.0,29.76,63.35,3.3
11-August-2016,3317.0,3369.95,3291.6,3303.8,3328.3447209145925,22305,1820,74238729.0,4904.0,21.99,78.35,-13.2
10-August-2016,3424.0,3442.85,3303.0,3320.5,3386.4019757680458,45147,2514,152885890.0,23378.0,51.78,139.85,-103.5
9-August-2016,3464.0,3490.0,3394.3,3407.3,3423.9617331642635,101733,4033,348329899.0,64765.0,63.66,95.7,-56.7
8-August-2016,3525.0,3553.55,3410.0,3456.8,3483.8617296546004,135264,13027,471241073.0,15951.0,11.79,143.55,-68.2
5-August-2016,3299.95,3455.65,3287.25,3434.3,3373.1307689077394,47626,4147,160648726.0,12461.0,26.16,168.4,134.35
4-August-2016,3255.0,3305.0,3250.0,3270.1,3279.4628364474443,24298,1893,79684388.0,8861.0,36.47,55.0,15.1
3-August-2016,3278.1,3305.9,3210.5,3237.1,3268.2192320513986,32997,2337,107841430.0,8202.0,24.86,95.4,-41.0
2-August-2016,3220.0,3279.0,3201.95,3260.0,3259.4620593902296,70584,3032,230065870.0,45093.0,63.89,77.05,40.0
1-August-2016,3211.0,3395.0,3200.0,3219.35,3226.0249130938587,17260,1845,55681190.0,4864.0,28.18,195.0,8.35
29-July-2016,3190.0,3243.7,3176.55,3206.45,3219.293306849644,16614,1447,53485339.0,3835.0,23.08,67.15,16.45
28-July-2016,3203.6,3229.45,3150.0,3192.3,3202.5477921378565,37140,3092,118942625.0,10313.0,27.77,79.45,-11.3
27-July-2016,3210.3,3257.15,3189.9,3203.5,3212.042115467471,9284,1233,29820599.0,2666.0,28.72,67.25,-6.8
26-July-2016,3280.0,3281.0,3173.0,3210.3,3240.8759812392,20255,2012,65643943.0,7339.0,36.23,108.0,-69.7
25-July-2016,3260.35,3285.5,3250.0,3279.7,3270.8301268931637,14658,1282,47943828.0,6922.0,47.22,35.5,19.35
22-July-2016,3272.25,3285.85,3254.05,3260.35,3265.393965641692,6927,979,22619384.0,1773.0,25.6,31.8,-11.9
21-July-2016,3300.0,3306.1,3260.3,3265.65,3284.799732828676,8983,1284,29507356.0,2007.0,22.34,45.8,-34.35
20-July-2016,3240.0,3283.0,3235.15,3276.6,3269.876069839096,11684,1410,38205232.0,3628.0,31.05,47.85,36.6
19-July-2016,3260.0,3261.85,3208.0,3229.4,3227.805998378816,18505,1872,59730550.0,5803.0,31.36,53.85,-30.6
18-July-2016,3253.65,3291.15,3240.0,3254.5,3271.1042667032516,21867,3282,71529237.0,6148.0,28.12,51.15,0.85
15-July-2016,3270.0,3289.0,3220.45,3237.7,3260.680513211382,15744,1822,51336154.0,2202.0,13.99,68.55,-32.3
14-July-2016,3229.0,3271.0,3205.9,3251.3,3242.122201699298,27070,3090,87764248.0,9273.0,34.26,65.1,22.3
13-July-2016,3250.0,3259.95,3220.0,3235.55,3238.2367018953623,11449,1815,37074572.0,1485.0,12.97,39.95,-14.45
12-July-2016,3250.0,3259.35,3223.5,3243.75,3240.584024418337,17364,2149,56269501.0,3710.0,21.37,35.85,-6.25
11-July-2016,3170.0,3244.2,3170.0,3236.55,3230.3621345693127,63863,4899,206300617.0,24701.0,38.68,74.2,66.55
8-July-2016,3125.0,3170.0,3117.55,3160.2,3151.077930281972,17413,1994,54869720.0,3811.0,21.89,52.45,35.2
7-July-2016,3130.0,3135.0,3090.7,3101.3,3115.2746883402588,16364,1400,50978355.0,3175.0,19.4,44.3,-28.7
5-July-2016,3159.8,3161.7,3105.0,3111.5,3124.898117741289,12485,1749,39014353.0,4497.0,36.02,56.7,-48.3
4-July-2016,3225.0,3225.0,3146.2,3161.75,3161.8471185692206,22645,2064,71600028.0,8095.0,35.75,78.8,-63.25
1-July-2016,3185.5,3199.9,3160.35,3176.65,3179.884355146944,19361,2647,61565741.0,3990.0,20.61,39.55,-8.85
30-June-2016,3157.0,3222.35,2987.8,3180.85,3188.353751579356,41156,5211,131219887.0,10287.0,25.0,234.55,23.85
29-June-2016,3035.05,3154.9,3035.05,3145.0,3118.175215772306,34643,3504,108022944.0,8964.0,25.88,119.85,109.95
28-June-2016,3080.0,3080.0,3011.0,3025.5,3039.9481408434362,17239,2342,52405666.0,4902.0,28.44,69.0,-54.5
27-June-2016,3028.95,3082.0,3025.0,3054.6,3051.7464333269922,15771,1739,48129093.0,3472.0,22.02,57.0,25.65
24-June-2016,3062.7,3076.0,2956.0,3055.95,2984.269770690653,117396,2340,350341334.0,96119.0,81.88,120.0,-6.75
23-June-2016,3077.55,3083.8,3038.75,3062.7,3061.3398793198025,9115,1218,27904113.0,2118.0,23.24,45.05,-14.85
22-June-2016,3050.1,3074.1,3027.2,3068.6,3060.857558356328,13409,1600,41043039.0,2202.0,16.42,46.9,18.5
21-June-2016,3055.0,3074.0,3036.5,3048.75,3054.2190279887172,9218,1287,28153791.0,2056.0,22.3,37.5,-6.25
20-June-2016,3005.85,3092.0,3005.85,3048.65,3058.8323704261916,11943,1772,36531635.0,2412.0,20.2,86.15,42.8
17-June-2016,3043.35,3043.35,3015.0,3028.2,3029.924326222457,11391,1675,34513868.0,3669.0,32.21,28.35,-15.15
16-June-2016,3042.2,3054.95,3016.2,3023.4,3030.1864148917125,11174,1315,33859303.0,2484.0,22.23,38.75,-18.8
15-June-2016,3027.65,3086.45,3022.05,3066.7,3065.9234092558663,28933,2877,88706362.0,7175.0,24.8,64.4,39.05
14-June-2016,3036.45,3039.95,2990.5,3011.55,2998.645246194339,64969,2148,194818983.0,46613.0,71.75,49.45,-24.9
13-June-2016,3067.45,3067.45,3017.5,3039.2,3033.7953317197707,30161,2921,91502301.0,9272.0,30.74,49.95,-28.25
10-June-2016,3055.0,3111.0,3055.0,3067.45,3077.173901061044,14514,1945,44662102.0,2267.0,15.62,56.0,12.45
9-June-2016,3160.0,3170.35,3072.0,3083.25,3102.4590932570422,25167,2525,78079588.0,10035.0,39.87,98.35,-76.75
8-June-2016,3130.0,3180.0,3111.8,3170.4,3160.87237425726,11949,1227,37769264.0,2191.0,18.34,68.2,40.4
7-June-2016,3125.0,3146.45,3111.7,3127.9,3131.873081981587,13686,1975,42862815.0,3751.0,27.41,34.75,2.9
6-June-2016,3140.0,3154.0,3090.0,3102.0,3120.4162223198045,15941,2060,49742555.0,5679.0,35.63,64.0,-38.0
3-June-2016,3152.0,3207.9,3100.05,3146.8,3174.3076598056377,33134,3581,105177510.0,7272.0,21.95,107.85,-5.2
2-June-2016,3087.3,3144.0,3060.1,3137.3,3124.0299360146246,21880,2419,68353775.0,3730.0,17.05,83.9,50.0
